Cidade,Curso,Grau,Turno,Vagas,Inscritos,year,Inscritos/Vagas
Niterói,Ciências econômicas,Bacharelado,Noturno,100.0,1087.0,2020,10.87
Niterói,Direito,Bacharelado,Integral,110.0,2565.0,2020,23.318181818181817
Niterói,Direito,Bacharelado,Noturno,110.0,3034.0,2020,27.581818181818182
Niterói,Química,Licenciatura,Integral,20.0,106.0,2020,5.3
Niterói,Química,Licenciatura,Noturno,30.0,223.0,2020,7.433333333333334
Niterói,Administração,Bacharelado,Noturno,80.0,2176.0,2020,27.2
Niterói,Matemática,Licenciatura,Matutino,50.0,379.0,2020,7.58
Niterói,Matemática,Licenciatura,Noturno,70.0,642.0,2020,9.17142857142857
Niterói,Medicina veterinária,Bacharelado,Integral,120.0,4532.0,2020,37.766666666666666
Niterói,História,Licenciatura,Matutino,94.0,1150.0,2020,12.23404255319149
Niterói,História,Licenciatura,Noturno,94.0,1208.0,2020,12.851063829787234
Niterói,Enfermagem,Bacharelado,Integral,114.0,3565.0,2020,31.271929824561404
Niterói,Química industrial,Bacharelado,Integral,40.0,257.0,2020,6.425
Niterói,Ciência da computação,Bacharelado,Integral,140.0,1971.0,2020,14.07857142857143
Niterói,Ciências contábeis,Bacharelado,Noturno,90.0,1316.0,2020,14.622222222222222
Niterói,Engenharia química,Bacharelado,Integral,100.0,584.0,2020,5.84
Niterói,Engenharia civil,Bacharelado,Integral,90.0,1135.0,2020,12.61111111111111
Niterói,Engenharia elétrica,Bacharelado,Integral,90.0,757.0,2020,8.411111111111111
Niterói,Engenharia mecânica,Bacharelado,Integral,90.0,793.0,2020,8.811111111111112
Niterói,Engenharia de telecomunicações,Bacharelado,Integral,90.0,610.0,2020,6.777777777777778
Niterói,Engenharia de produção,Bacharelado,Integral,90.0,785.0,2020,8.722222222222221
Niterói,Engenharia agrícola e ambiental,Bacharelado,Integral,100.0,759.0,2020,7.59
Niterói,Produção cultural,Bacharelado,Integral,72.0,878.0,2020,12.194444444444445
Niterói,Letras - inglês,Licenciatura,Noturno,35.0,509.0,2020,14.542857142857143
Niterói,Letras - português,Licenciatura,Integral,40.0,237.0,2020,5.925
Niterói,Letras - português,Licenciatura,Noturno,40.0,507.0,2020,12.675
Niterói,Letras - italiano,Licenciatura,Noturno,14.0,101.0,2020,7.214285714285714
Niterói,Letras - latim,Licenciatura,Integral,25.0,161.0,2020,6.44
Niterói,Comunicação social - publicidade e propaganda,Bacharelado,Integral,52.0,2495.0,2020,47.98076923076923
Niterói,Letras - alemão,Licenciatura,Integral,14.0,69.0,2020,4.928571428571429
Niterói,Letras - grego,Licenciatura,Integral,18.0,160.0,2020,8.88888888888889
Niterói,Letras - espanhol,Licenciatura,Noturno,35.0,219.0,2020,6.257142857142857
Niterói,Letras - francês,Licenciatura,Integral,25.0,116.0,2020,4.64
Niterói,Ciências biológicas,Licenciatura,Integral,40.0,439.0,2020,10.975
Niterói,Turismo,Bacharelado,Integral,90.0,1026.0,2020,11.4
Niterói,Biomedicina,Bacharelado,Integral,62.0,2740.0,2020,44.193548387096776
Niterói,Geofisica,Bacharelado,Integral,42.0,306.0,2020,7.285714285714286
Niterói,Estudos de mídia,Bacharelado,Integral,60.0,859.0,2020,14.316666666666666
Niterói,Engenharia de petróleo,Bacharelado,Integral,45.0,206.0,2020,4.5777777777777775
Niterói,Estatística,Bacharelado,Integral,86.0,473.0,2020,5.5
Niterói,Educação física,Licenciatura,Integral,64.0,2059.0,2020,32.171875
Niterói,Engenharia de recursos hídricos e do meio ambiente,Bacharelado,Integral,100.0,608.0,2020,6.08
Niterói,Filosofia,Licenciatura,Matutino,56.0,578.0,2020,10.321428571428571
Niterói,Cinema e audiovisual,Bacharelado,Integral,72.0,2269.0,2020,31.51388888888889
Niterói,Relações internacionais,Bacharelado,Matutino,110.0,2337.0,2020,21.245454545454546
Niterói,Ciências sociais,Bacharelado,Noturno,30.0,373.0,2020,12.433333333333334
Niterói,Ciências sociais,Bacharelado,Vespertino,30.0,247.0,2020,8.233333333333333
Niterói,Física,Bacharelado,Integral,50.0,212.0,2020,4.24
Niterói,Geografia,Bacharelado,Matutino,25.0,359.0,2020,14.36
Niterói,Geografia,Bacharelado,Noturno,25.0,201.0,2020,8.04
Niterói,Química,Bacharelado,Integral,30.0,244.0,2020,8.133333333333333
Niterói,Matemática,Bacharelado,Matutino,40.0,259.0,2020,6.475
Niterói,Psicologia,Bacharelado,Integral,90.0,4734.0,2020,52.6
Niterói,História,Bacharelado,Matutino,10.0,146.0,2020,14.6
Niterói,História,Bacharelado,Noturno,10.0,168.0,2020,16.8
Niterói,Letras - italiano,Bacharelado,Noturno,6.0,39.0,2020,6.5
Niterói,Letras - alemão,Bacharelado,Integral,6.0,19.0,2020,3.1666666666666665
Niterói,Letras - grego,Bacharelado,Integral,7.0,68.0,2020,9.714285714285714
Niterói,Letras - francês,Bacharelado,Integral,10.0,64.0,2020,6.4
Niterói,Ciências biológicas,Bacharelado,Integral,80.0,1466.0,2020,18.325
Niterói,Filosofia,Bacharelado,Matutino,56.0,502.0,2020,8.964285714285714
Niterói,Sistemas de informação,Bacharelado,Noturno,122.0,1343.0,2020,11.008196721311476
Niterói,Ciências atuariais,Bacharelado,Noturno,80.0,556.0,2020,6.95
